Column1;Column2
Code;Description
PUB;Cite to publication
MAN;Cite to manual
PRO;Cite to project name or website
INS;Instrument-like
URL;URL in text
NAM;In-text name only
NOT;Not even name mentioned
+ver;with version information in reference
+cver;with version information near mention
"""+tver""";with version information in title
+pid;with PID for software in reference
+cre;with information in reference that allows for personal credit
"""+ocre""";with information in paper that may allow for personal credit
+per;with link to persistent software archive in reference
"""+crep""";with link to artifact repository near mention (CRAN etc.)
"""+rep""";with link to artifact repository in reference (CRAN etc.)
+acc;with link to source code in reference
+cacc;with link to source code near mention
+oacc;with link to source code in other place (footnotes etc.)
